OBJECTID,track,ypx_br,br_power_raw,surf_power_raw,ypx_surf,lat,lon,surf_elevation,region,lrz,fog,segment_id
154,22826,1565,0.00109404,0.00184886,1381,-86.8477,183.4272,2433.282715,AS,no,yes,4.0
155,22826,1570,0.000340584,0.00110408,1383,-86.8516,183.3113,2443.240723,AS,no,yes,4.0
156,22826,1572,0.000537557,0.000844272,1376,-86.8561,183.1761,2454.272461,AS,no,yes,4.0
157,22826,1567,0.000399978,0.000822795,1377,-86.86,183.0602,2467.474609,AS,no,yes,4.0
158,22826,1574,0.000338238,0.00103291,1377,-86.8639,182.9443,2473.676514,AS,no,yes,4.0
159,22826,1576,0.000749495,0.000859947,1360,-86.8762,182.5774,2497.649658,AS,no,yes,4.0
160,22826,1578,0.000810436,0.00112308,1342,-86.8839,182.3456,2503.734375,AS,no,yes,4.0
161,22826,1575,0.000913308,0.00163446,1340,-86.8885,182.2104,2511.796875,AS,no,yes,4.0
162,22826,1575,0.000463286,0.000840289,1337,-86.8923,182.0945,2513.872559,AS,no,yes,4.0
163,22826,1578,0.00118082,0.0012877,1338,-86.8962,181.9786,2521.812744,AS,no,yes,4.0
164,22826,1582,0.000473471,0.000695977,1331,-86.9001,181.8627,2531.969971,AS,no,yes,4.0
165,22826,1581,0.000912193,0.00104735,1332,-86.9046,181.7275,2540.16333,AS,no,yes,4.0
166,22826,1578,0.000945537,0.00161146,1322,-86.9124,181.4957,2565.773682,AS,no,yes,4.0
167,22826,1584,0.000875724,0.00139517,1325,-86.9169,181.3605,2587.223145,AS,no,yes,4.0
168,22826,1585,0.00048047,0.00305932,1322,-86.9208,181.2446,2609.01123,AS,no,yes,4.0
169,22826,1579,0.000491869,0.00253003,1322,-86.9247,181.1287,2616.462158,AS,no,yes,4.0
170,22826,1583,0.000481551,0.00128716,1320,-86.9286,181.0129,2633.328857,AS,no,yes,4.0
171,22826,1583,0.000651663,0.000886781,1319,-86.9331,180.8777,2650.186523,AS,no,yes,4.0
172,22826,1582,0.000388967,0.000695914,1318,-86.937,180.7618,2668.858887,AS,no,yes,4.0
173,27032,1600,0.00405266,0.00679333,1254,-87.115,183.849,2949.0,AS,no,yes,5.0
174,27032,1601,0.00223535,0.0710359,1254,-87.1203,183.5753,2943.554932,AS,no,yes,5.0
175,27032,1602,0.00201892,0.00994505,1255,-87.1261,183.2788,2921.396973,AS,no,yes,5.0
176,27032,1603,0.0022486,0.0356009,1256,-87.1288,183.1419,2904.672363,AS,no,yes,5.0
177,27032,1604,0.00445536,0.0110851,1257,-87.1319,182.9823,2878.338623,AS,no,yes,5.0
178,27032,1611,0.00683245,0.0221703,1260,-87.1372,182.7086,2814.575439,AS,no,yes,5.0
179,27032,1605,0.0036291,0.0285146,1260,-87.1399,182.5717,2792.687988,AS,no,yes,5.0
180,27032,1608,0.0037946,0.0348264,1261,-87.143,182.4121,2787.930908,AS,no,yes,5.0
181,27032,1608,0.00466958,0.0121278,1264,-87.1483,182.1384,2815.700928,AS,no,yes,5.0
182,27032,1608,0.00256053,0.00891028,1268,-87.151,182.0015,2834.114502,AS,no,yes,5.0
183,27032,1610,0.00147813,0.0331278,1267,-87.1541,181.8419,2849.353027,AS,no,yes,5.0
184,27032,1613,0.00262536,0.0274784,1273,-87.1621,181.4313,2886.765137,AS,no,yes,5.0
185,27032,1611,0.00334194,0.0163017,1274,-87.1638,181.2552,2922.835449,AS,no,yes,5.0
186,27032,1615,0.00871871,0.0562063,1276,-87.1665,180.9519,2927.234131,AS,no,yes,5.0
187,27032,1616,0.00365582,0.0259391,1278,-87.1681,180.775,2903.820557,AS,no,yes,5.0
188,27454,1629,0.00117293,0.00736224,1263,-87.1372,182.691,2811.577881,AS,no,yes,6.0
189,27454,1631,0.00215541,0.0039917,1268,-87.1403,182.5316,2789.950684,AS,no,yes,6.0
190,27454,1626,0.00330368,0.00541079,1267,-87.1457,182.2583,2800.033691,AS,no,yes,6.0
191,27454,1624,0.00154106,0.00280636,1276,-87.1515,181.9622,2838.632813,AS,no,yes,6.0
192,27454,1623,0.00363163,0.00898405,1273,-87.1569,181.6889,2860.770996,AS,no,yes,6.0
193,27454,1622,0.00489683,0.00691113,1275,-87.1599,181.5284,2874.737793,AS,no,yes,6.0
194,27454,1622,0.00630598,0.0125171,1276,-87.1613,181.3769,2897.211182,AS,no,yes,6.0
195,35814,1607,0.00239266,0.0112469,1256,-87.0944,183.918,2950.167969,AS,no,yes,7.0
196,35814,1609,0.00277467,0.00445202,1256,-87.0968,183.7499,2950.0,AS,no,yes,7.0
197,35814,1610,0.00149901,0.00713506,1255,-87.0988,183.6059,2947.583984,AS,no,yes,7.0
198,35814,1613,0.00229248,0.00820545,1256,-87.1032,183.2939,2933.591064,AS,no,yes,7.0
199,35814,1615,0.00123466,0.0123834,1256,-87.1053,183.1498,2920.469482,AS,no,yes,7.0
200,35814,1620,0.00149052,0.00373541,1257,-87.1073,183.0058,2903.764893,AS,no,yes,7.0
201,35814,1617,0.00257634,0.0040129,1258,-87.1117,182.6938,2851.103516,AS,no,yes,7.0
202,35814,1618,0.00238144,0.0146195,1260,-87.1138,182.5497,2834.256592,AS,no,yes,7.0
203,35814,1620,0.00308003,0.00612437,1260,-87.1158,182.4057,2833.928711,AS,no,yes,7.0
204,35814,1627,0.00313669,0.0181226,1264,-87.1202,182.0936,2857.21875,AS,no,yes,7.0
205,35814,1627,0.00226141,0.0114736,1264,-87.1223,181.9496,2869.638672,AS,no,yes,7.0
206,35814,1624,0.0020586,0.00272167,1265,-87.1243,181.8056,2876.959473,AS,no,yes,7.0
207,35814,1628,0.00224971,0.00458423,1268,-87.1288,181.4935,2895.854736,AS,no,yes,7.0
208,35814,1629,0.00224344,0.0235434,1270,-87.1308,181.3495,2921.533691,AS,no,yes,7.0
209,35814,1628,0.004847,0.0215292,1272,-87.1329,181.2055,2958.508789,AS,no,yes,7.0
210,35814,1629,0.0020331,0.0168767,1275,-87.1373,180.8934,2924.572021,AS,no,yes,7.0
211,35814,1630,0.00277721,0.0187823,1276,-87.1393,180.7494,2910.736328,AS,no,yes,7.0
212,35814,1632,0.00156059,0.0195117,1278,-87.1414,180.6054,2910.281738,AS,no,yes,7.0
213,6820,1591,0.00043489,0.00739519,1488,-73.0182,191.0396,1729.432495,UL,yes,yes,8.0
214,6820,1592,0.000806046,0.0055983,1486,-73.0255,191.0351,1735.113281,UL,yes,yes,8.0
215,6820,1594,0.00106999,0.0358235,1485,-73.0329,191.0306,1739.765381,UL,yes,yes,8.0
216,6820,1591,0.00125538,0.0403142,1484,-73.0403,191.0261,1743.758911,UL,yes,yes,8.0
217,6820,1588,0.000600811,0.0313119,1484,-73.0488,191.0209,1749.094971,UL,yes,yes,8.0
218,6820,1590,0.000296463,0.0235205,1483,-73.0562,191.0164,1755.759766,UL,yes,yes,8.0
219,6820,1588,0.000400558,0.00790495,1482,-73.0636,191.0119,1762.731323,UL,yes,yes,8.0
220,6820,1587,0.000298229,0.0113455,1482,-73.0722,191.0067,1768.879028,UL,yes,yes,8.0
221,6820,1589,0.000267232,0.0181781,1482,-73.0795,191.0019,1771.265869,UL,yes,yes,8.0
222,6820,1587,0.000661853,0.00820155,1481,-73.0869,190.9972,1774.27832,UL,yes,yes,8.0
223,6820,1589,0.000424931,0.0180837,1481,-73.0942,190.9925,1777.701294,UL,yes,yes,8.0
224,6820,1588,0.000146837,0.0362263,1481,-73.1028,190.987,1781.689941,UL,yes,yes,8.0
225,6820,1587,0.000537823,0.0298584,1481,-73.1102,190.9822,1783.90332,UL,yes,yes,8.0
226,6820,1587,0.000646529,0.022107,1481,-73.1176,190.9775,1784.884277,UL,yes,yes,8.0
227,6820,1589,0.00049466,0.0169523,1480,-73.1249,190.9728,1785.801636,UL,yes,yes,8.0
228,6820,1586,0.000988282,0.042745,1480,-73.1335,190.9672,1787.619263,UL,yes,yes,8.0
229,6820,1583,0.000662973,0.053035,1479,-73.1409,190.9625,1789.167969,UL,yes,yes,8.0
230,6820,1581,0.000558274,0.0641951,1479,-73.1482,190.9578,1791.291138,UL,yes,yes,8.0
231,6820,1583,0.000945949,0.0179341,1477,-73.1556,190.953,1793.480835,UL,yes,yes,8.0
232,6820,1582,0.000433985,0.0159804,1476,-73.1642,190.9475,1796.940796,UL,yes,yes,8.0
233,6820,1584,0.000347745,0.0150326,1475,-73.1715,190.9428,1801.963745,UL,yes,yes,8.0
234,6820,1584,0.00050132,0.0168996,1474,-73.1789,190.9381,1807.902832,UL,yes,yes,8.0
235,6820,1585,0.000420884,0.0412449,1473,-73.1862,190.9333,1813.15625,UL,yes,yes,8.0
236,6820,1584,0.000642534,0.0499319,1472,-73.1948,190.9278,1817.71936,UL,yes,yes,8.0
237,6820,1586,0.000541171,0.0467871,1471,-73.2022,190.9231,1822.237427,UL,yes,yes,8.0
238,6820,1588,0.000645764,0.0233303,1469,-73.2095,190.9183,1829.669434,UL,yes,yes,8.0
239,6820,1586,0.0013983,0.0380846,1468,-73.2169,190.9136,1836.643311,UL,yes,yes,8.0
240,6820,1588,0.000579115,0.0501401,1468,-73.2255,190.9081,1844.276733,UL,yes,yes,8.0
241,6820,1585,0.00138134,0.0427728,1467,-73.2329,190.9033,1848.218872,UL,yes,yes,8.0
242,6820,1584,0.0015842,0.0476639,1467,-73.2402,190.8986,1850.057129,UL,yes,yes,8.0
243,6820,1584,0.000808223,0.0278267,1467,-73.2488,190.8931,1851.717285,UL,yes,yes,8.0
244,6820,1583,0.000768393,0.0333337,1467,-73.2562,190.8884,1852.637817,UL,yes,yes,8.0
245,6820,1584,0.00146347,0.0404887,1467,-73.2635,190.8836,1853.866577,UL,yes,yes,8.0
246,6820,1585,0.000646655,0.0279111,1466,-73.2709,190.8789,1855.069702,UL,yes,yes,8.0
247,6820,1582,0.000545176,0.031412,1467,-73.2795,190.8734,1855.460083,UL,yes,yes,8.0
248,6820,1580,0.000948499,0.0311199,1467,-73.2868,190.8686,1855.844727,UL,yes,yes,8.0
249,6820,1581,0.00046772,0.0347563,1467,-73.2942,190.8639,1855.953979,UL,yes,yes,8.0
250,6820,1583,0.000823268,0.0345404,1467,-73.3015,190.8592,1856.172607,UL,yes,yes,8.0
251,6820,1584,0.000756253,0.0346198,1467,-73.3101,190.8536,1855.782349,UL,yes,yes,8.0
252,6820,1586,0.00121193,0.0327387,1467,-73.3175,190.8489,1856.749634,UL,yes,yes,8.0
253,6820,1588,0.00146324,0.0206368,1467,-73.3248,190.8442,1858.825195,UL,yes,yes,8.0
254,6820,1585,0.00093984,0.0166554,1466,-73.3322,190.8395,1862.614624,UL,yes,yes,8.0
255,6820,1582,0.000481801,0.0160691,1465,-73.3408,190.8339,1867.704834,UL,yes,yes,8.0
256,6820,1579,0.00123834,0.013336,1464,-73.3482,190.8292,1871.470093,UL,yes,yes,8.0
257,6820,1580,0.00107243,0.0119166,1462,-73.3555,190.8245,1875.511597,UL,yes,yes,8.0
258,6820,1581,0.00183781,0.00820173,1459,-73.3629,190.8197,1882.10498,UL,yes,yes,8.0
259,6820,1578,0.00096761,0.00544381,1456,-73.3715,190.8142,1892.465088,UL,yes,yes,8.0
260,6820,1577,0.000839641,0.00368737,1454,-73.3788,190.8095,1900.550171,UL,yes,yes,8.0
261,6820,1575,0.00184665,0.00430936,1452,-73.3862,190.8047,1909.322876,UL,yes,yes,8.0
262,6820,1577,0.00131998,0.00460136,1450,-73.3935,190.8,1917.992188,UL,yes,yes,8.0
